yummy,convenient,spicy,fattening,greasy,fast,cheap,tasty,expensive,healthy,disgusting,Like,Ratings,Age,VisitFrequency,Gender
Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,+4,+4,55,Once a month,Female
No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,-5,35,Once a year,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,+3,29,Once a week,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,+2,55,Once a year,Male
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,+1,+1,50,Every three months,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-2,-2,34,Once a week,Male
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,0,59,Never,Female
Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,+4,+4,40,Once a week,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,+3,39,Once a month,Female
No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,0,0,46,Every three months,Female
Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,I love it!+5,+5,25,Once a week,Male
No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,-3,-3,48,Every three months,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,+3,56,Once a week,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-3,-3,46,Once a year,Female
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,+5,44,Once a week,Male
No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,I hate it!-5,-5,55,Once a year,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+3,+3,63,More than once a week,Male
No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,+1,58,Every three months,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,+4,18,Once a month,Male
No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,0,0,60,Every three months,Male
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,I hate it!-5,-5,63,Once a year,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+3,+3,30,Once a month,Female
No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,I hate it!-5,-5,67,Never,Female
No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,I hate it!-5,-5,65,Never,Female
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+3,+3,61,Once a month,Female
No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+2,+2,52,Once a week,Male
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,-3,-3,23,Once a year,Female
No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,-4,-4,41,Every three months,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,0,0,57,Every three months,Male
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,0,0,46,Once a year,Female
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,-2,-2,36,Every three months,Male
No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,I hate it!-5,-5,54,Never,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,+2,37,Once a month,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,+5,33,Once a week,Female
Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,+3,+3,26,Once a week,Male
Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,+4,+4,27,Once a week,Male
No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,I hate it!-5,-5,34,Once a year,Male
Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,+2,+2,49,Once a month,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+3,+3,34,Once a week,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,+3,+3,37,Once a month,Female
No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,-4,-4,62,Once a year,Male
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,+2,+2,54,Once a month,Male
No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-3,-3,37,Once a year,Female
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,+1,+1,57,Every three months,Male
No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,-1,-1,48,Every three months,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+4,+4,52,Once a month,Female
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+1,+1,36,Every three months,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-3,-3,35,Every three months,Male
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,-4,43,Once a year,Male
No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,-4,-4,60,Never,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-3,-3,32,Never,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,+4,62,Once a week,Male
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+4,+4,45,Once a month,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,+4,45,Once a month,Male
No,No,No,No,No,No,No,No,Yes,No,Yes,I hate it!-5,-5,34,Once a month,Male
No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,I hate it!-5,-5,55,Once a year,Male
No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,-1,-1,36,Every three months,Male
No,Yes,No,No,No,Yes,Yes,No,No,No,No,0,0,29,Once a year,Male
No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,I hate it!-5,-5,64,Once a month,Female
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-3,-3,66,Once a month,Female
No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+3,+3,49,Once a month,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,+2,25,Every three months,Female
No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+2,+2,58,Once a month,Female
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,+2,56,Once a year,Female
Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,+3,+3,29,Every three months,Female
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-1,-1,70,Once a year,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-3,-3,37,Every three months,Female
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+2,+2,38,Once a week,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,0,0,59,Once a year,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-3,-3,20,Every three months,Female
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,+5,69,Once a month,Female
No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,+1,66,Once a month,Female
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,+2,53,Once a month,Female
No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,-5,60,Never,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,+3,38,Once a week,Female
No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,0,0,34,Every three months,Female
Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,+2,+2,45,Every three months,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,+3,30,Every three months,Male
No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,-5,38,Never,Male
Yes,Yes,No,No,No,Yes,No,No,No,No,No,+1,+1,55,Once a month,Male
Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+2,+2,35,Once a month,Female
No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,-3,-3,49,Once a year,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,0,0,60,Once a year,Female
No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,-2,-2,48,Every three months,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,+2,43,Once a month,Female
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,-4,-4,39,Once a year,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,0,23,Once a week,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,+4,51,Once a month,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,-5,21,Never,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,0,70,Once a year,Female
No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,I hate it!-5,-5,56,Once a year,Male
No,No,No,Yes,No,No,No,No,Yes,No,Yes,-1,-1,33,Once a year,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,+3,58,Every three months,Male
Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,+3,+3,23,Once a month,Female
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,0,0,63,Every three months,Female
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+2,+2,33,Once a month,Female
No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,+1,+1,51,Once a year,Female
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,I love it!+5,+5,27,Once a month,Male
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+2,+2,51,Once a month,Male
No,No,No,No,No,No,No,No,No,No,No,-3,-3,69,Never,Male
Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,+2,+2,59,Every three months,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,+3,40,Once a month,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,+5,20,Once a month,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,-5,28,Never,Male
Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,+1,+1,31,Once a month,Male
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+2,+2,32,Every three months,Female
Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+3,+3,34,Once a week,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,-3,-3,62,Once a week,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,33,Every three months,Female
No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,-1,-1,51,Once a month,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,+4,36,Every three months,Male
Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+4,+4,22,Once a month,Female
No,No,No,No,No,No,No,No,Yes,No,Yes,I hate it!-5,-5,51,Never,Female
No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,I hate it!-5,-5,42,Never,Male
Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,+2,+2,24,Once a month,Male
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,+3,18,Once a month,Male
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,-5,26,Once a year,Female
No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,57,Never,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+1,+1,59,Once a week,Male
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,0,0,38,Every three months,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+2,+2,31,Once a month,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+2,+2,27,Once a year,Female
No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,-3,-3,55,Never,Male
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+4,+4,47,More than once a week,Male
No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,-4,-4,52,Never,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,+5,58,Once a week,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,+2,30,Every three months,Female
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,-1,-1,38,Every three months,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,+4,49,Once a week,Female
Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,+3,+3,37,Once a month,Male
Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,+3,+3,39,Once a month,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,+4,60,Once a week,Male
Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,+3,+3,50,Once a week,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,+4,25,Once a week,Male
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,-4,64,Never,Male
No,No,No,Yes,No,No,No,No,Yes,No,Yes,-3,-3,62,Once a year,Male
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-2,-2,37,Once a year,Male
Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,+2,+2,68,Every three months,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,+2,24,Once a month,Female
Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,+1,+1,26,Once a week,Male
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,+2,+2,49,Once a month,Female
No,Yes,No,No,No,No,No,No,Yes,No,No,-2,-2,43,Once a week,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,+4,+4,53,Once a month,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,+2,41,Once a month,Male
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,-5,35,Every three months,Female
No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,I hate it!-5,-5,60,Never,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,+2,35,Once a week,Male
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,0,0,54,Every three months,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,+4,+4,23,Once a week,Female
No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,0,0,41,Once a year,Female
No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,I hate it!-5,-5,57,Once a year,Female
No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,I hate it!-5,-5,64,Never,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,+2,59,Once a month,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,+4,38,Once a month,Female
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,+1,66,Every three months,Male
Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,0,0,48,Every three months,Female
No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,I hate it!-5,-5,63,Once a year,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,+1,64,Every three months,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-1,-1,56,Every three months,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,+3,24,More than once a week,Female
No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,0,0,57,Once a year,Female
No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,-4,-4,59,Once a year,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+4,+4,39,Once a month,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,+5,37,Once a week,Female
Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,0,0,65,Once a year,Male
No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,I hate it!-5,-5,55,Every three months,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-2,-2,34,Once a year,Female
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,+1,+1,31,Once a week,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,23,Once a month,Female
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,+1,31,Once a year,Male
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,+1,32,Once a month,Female
No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,0,0,49,Every three months,Female
No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,0,0,59,Once a month,Male
Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,I love it!+5,+5,21,More than once a week,Female
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+3,+3,25,Once a month,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+2,+2,24,Once a month,Male
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,I hate it!-5,-5,58,Never,Male
No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,0,0,54,Every three months,Male
No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,-5,62,Never,Male
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,+3,+3,31,Once a month,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,+1,+1,21,Once a month,Female
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,+2,+2,48,Once a month,Male
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,0,0,30,Every three months,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,+2,+2,36,Once a week,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+2,+2,63,Every three months,Female
Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,+1,+1,33,Once a week,Male
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,0,0,56,Once a month,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+3,+3,38,Every three months,Female
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,+1,+1,43,Every three months,Male
No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,0,0,18,Every three months,Male
No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,+3,+3,19,Once a week,Male
No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,-2,-2,43,Every three months,Male
No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,-5,50,Never,Male
Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,-3,-3,54,Once a month,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,+2,23,Once a week,Male
No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,0,0,40,Every three months,Male
Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,+2,+2,52,Every three months,Female
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,0,0,35,Every three months,Male
No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,+1,+1,41,Once a month,Male
No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,-4,60,Once a year,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+3,+3,66,Every three months,Female
No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,-1,-1,45,Every three months,Male
No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,I hate it!-5,-5,39,Once a month,Male
No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,+1,+1,49,Once a year,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+1,+1,58,Once a month,Female
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+3,+3,32,Every three months,Female
Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,+3,+3,34,Once a month,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-2,-2,50,Once a month,Female
No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,I hate it!-5,-5,58,Never,Female
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,-3,-3,34,Once a year,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,+3,53,Every three months,Female
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+3,+3,46,Once a month,Male
Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,0,0,54,Once a year,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,+4,29,Once a month,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,+2,+2,52,Every three months,Female
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,+1,32,Once a month,Female
No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,+2,65,Once a month,Female
Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,0,0,44,Every three months,Male
No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,-1,-1,42,Once a month,Male
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+4,+4,37,Once a month,Female
Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,0,0,24,More than once a week,Male
No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,0,0,69,Never,Female
No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,0,0,39,Once a month,Male
Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,+4,+4,55,Once a month,Male
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+2,+2,47,Every three months,Female
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,I love it!+5,+5,46,Once a month,Female
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,0,0,63,Every three months,Female
No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,-4,64,Never,Female
Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,+3,+3,34,Every three months,Female
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-2,-2,30,Once a week,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,+2,37,Once a year,Female
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,+4,+4,48,Once a month,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+3,+3,32,Once a month,Female
No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,-1,-1,24,Once a year,Female
Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,+4,+4,65,Every three months,Male
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-3,-3,64,Every three months,Male
No,Yes,No,No,No,Yes,No,No,No,No,No,0,0,64,Every three months,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+2,+2,50,Once a month,Male
No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,-2,-2,70,Once a year,Male
No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,-2,-2,35,Never,Female
No,No,No,No,No,No,No,No,No,No,No,I hate it!-5,-5,24,Never,Male
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,-5,18,Once a year,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,+4,30,Once a month,Female
No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,-3,-3,59,Once a year,Male
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+3,+3,64,Once a month,Male
No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,-3,-3,62,Once a year,Male
No,Yes,No,Yes,No,No,No,No,Yes,No,No,-3,-3,63,Once a year,Female
Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,+3,+3,36,Once a week,Male
No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,0,0,32,Every three months,Male
Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,I love it!+5,+5,61,Once a week,Female
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+4,+4,42,Once a week,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,I love it!+5,+5,43,Once a month,Female
No,Yes,No,Yes,No,No,No,No,No,No,No,0,0,44,Once a year,Female
No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+2,+2,19,Once a week,Male
No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,+1,53,Every three months,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,+2,32,Every three months,Male
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,0,0,52,Once a month,Female
No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,-3,-3,60,Never,Male
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,-1,-1,53,Every three months,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,-5,33,Once a year,Female
Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,I love it!+5,+5,40,Once a month,Female
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,-2,-2,63,Once a year,Male
Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,+3,+3,47,Once a week,Male
Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+3,+3,25,Once a month,Female
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-3,-3,38,Every three months,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,+5,28,Once a week,Female
No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,0,0,57,Once a year,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+4,+4,56,Once a week,Female
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,+3,35,Every three months,Male
No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-3,-3,62,Once a year,Male
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+1,+1,37,Every three months,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,+1,+1,63,Once a week,Male
No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,+1,+1,57,Once a year,Male
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-1,-1,53,Once a year,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,+2,+2,49,Once a week,Female
No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,+1,+1,56,Never,Male
No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,+1,+1,50,Once a month,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,+4,59,Once a year,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,+5,32,Once a month,Female
